,population,gdp,carbon_intensity_elec,electricity_demand,electricity_generation,fossil_electricity,fossil_share_elec,greenhouse_gas_emissions,net_elec_imports,per_capita_electricity,renewables_electricity,gdp_per_capita,clusters,cluster
232,9999713.0,114486000000.0,489.434,32.59,29.34,29.31,99.898,14.36,3.25,2934.084,0.03,11448.928584250369,0,pink
233,9935166.0,123858000000.0,489.179,33.15,29.11,29.07,99.863,14.24,4.04,2929.996,0.04,12466.626123811116,0,pink
234,9874700.0,134674000000.0,489.112,34.21,29.85,29.79,99.799,14.6,4.36,3022.876,0.06,13638.287745450494,0,pink
235,9825990.0,144616000000.0,489.29,34.22,29.88,29.81,99.766,14.62,4.34,3040.915,0.07,14717.702745473993,0,pink
236,9787829.0,157577000000.0,489.058,34.74,32.9,32.79,99.666,16.09,1.84,3361.318,0.11,16099.280034418256,0,pink
237,9757710.0,156010000000.0,488.764,32.95,28.48,28.38,99.649,13.92,4.47,2918.718,0.1,15988.382520078994,0,pink
238,9731426.0,166240000000.0,488.72,35.5,32.8,32.68,99.634,16.03,2.7,3370.523,0.12,17082.79958147963,0,pink
239,9706983.0,173125000000.0,488.757,35.83,30.24,30.12,99.603,14.78,5.59,3115.283,0.12,17835.09871192728,0,pink
240,9693754.0,176015000000.0,487.906,36.54,28.94,28.78,99.447,14.12,7.6,2985.428,0.16,18157.568265091108,0,pink
241,9691143.0,177742000000.0,486.149,35.97,29.6,29.31,99.02,14.39,6.37,3054.335,0.29,18340.664253948165,0,pink
242,9693741.0,180853000000.0,486.975,35.95,32.63,32.36,99.173,15.89,3.32,3366.09,0.27,18656.677540693527,0,pink
243,9700609.0,173928000000.0,486.571,34.64,32.02,31.73,99.094,15.58,2.62,3300.824,0.29,17929.595966603745,0,pink
244,9708111.0,168716000000.0,484.628,34.57,31.55,31.15,98.732,15.29,3.02,3249.86,0.4,17378.870101505843,0,pink
245,9707874.0,172988000000.0,480.283,35.05,32.46,31.71,97.689,15.59,2.59,3343.677,0.75,17819.349530082487,0,pink
246,9695573.0,178435000000.0,481.178,35.67,36.66,35.85,97.791,17.64,-0.99,3781.107,0.81,18403.760149090725,0,pink
247,10264351.0,345737000000.0,270.806,87.12,82.79,33.58,40.56,22.42,4.33,8065.78,1.05,33683.27914741029,0,pink
248,10309249.0,349022000000.0,259.825,87.74,78.63,31.2,39.68,20.43,9.11,7627.131,1.08,33855.23038584091,0,pink
249,10355569.0,355720000000.0,258.34,88.53,80.94,32.44,40.079,20.91,7.59,7816.084,1.14,34350.599180016085,0,pink
250,10402550.0,358964000000.0,261.936,89.98,83.57,34.99,41.869,21.89,6.41,8033.607,1.2,34507.30830421387,0,pink
251,10456164.0,372527000000.0,260.251,90.7,82.92,34.11,41.136,21.58,7.78,7930.25,1.5,35627.50163444261,0,pink
252,10516979.0,380850000000.0,255.529,90.4,84.1,34.39,40.892,21.49,6.3,7996.593,2.11,36212.87063518906,0,pink
253,10582970.0,390898000000.0,249.308,93.23,83.07,33.46,40.279,20.71,10.16,7849.403,2.96,36936.51215112582,0,pink
254,10653698.0,404736000000.0,244.801,93.34,86.56,34.84,40.25,21.19,6.78,8124.878,3.49,37990.18894659864,0,pink
255,10726720.0,408315000000.0,240.43,93.41,82.81,32.82,39.633,19.91,10.6,7719.974,4.42,38065.22403866233,0,pink
256,10801357.0,399533000000.0,244.117,87.83,89.67,37.0,41.262,21.89,-1.84,8301.734,5.45,36989.14867826329,0,pink
257,10877948.0,412204000000.0,242.705,93.42,92.87,38.39,41.337,22.54,0.55,8537.456,6.54,37893.54389265328,0,pink
258,10955742.0,420971000000.0,219.652,91.59,89.05,32.51,36.508,19.56,2.54,8128.158,8.31,38424.69090637585,0,pink
259,11031140.0,421101000000.0,229.919,91.36,81.42,30.62,37.607,18.72,9.94,7380.923,10.51,38173.8424133861,0,pink
260,11103260.0,421204000000.0,208.027,91.36,81.72,27.37,33.492,17.0,9.64,7360.0,11.71,37935.16498758023,0,pink
261,11176727.0,428583000000.0,215.957,88.54,70.94,25.03,35.283,15.32,17.6,6347.118,12.21,38346.02026156674,0,pink
262,11248306.0,434919000000.0,245.596,89.12,68.12,27.57,40.473,16.73,21.0,6056.023,14.45,38665.288799931295,0,pink
263,11316837.0,439359000000.0,187.113,90.14,83.96,26.19,31.193,15.71,6.18,7419.034,14.25,38823.480447761154,0,pink
264,11384491.0,447724000000.0,189.097,90.95,84.93,26.9,31.673,16.06,6.02,7460.149,15.8,39327.53778803111,0,pink
265,11448598.0,454384000000.0,221.164,90.85,73.52,27.75,37.745,16.26,17.33,6421.747,17.17,39689.0518821606,0,pink
266,6998022.0,12746225664.0,750.0,0.45,0.08,0.08,100.0,0.06,0.37,11.432,0.0,1821.4040573179109,0,pink
267,7212043.0,13306903552.0,666.667,0.48,0.06,0.06,100.0,0.04,0.42,8.319,0.0,1845.094871453207,0,pink
268,7431787.0,13793054720.0,666.667,0.5,0.06,0.06,100.0,0.04,0.44,8.073,0.0,1855.953987917038,0,pink
269,7659211.0,14127733760.0,714.286,0.59,0.07,0.07,100.0,0.05,0.52,9.139,0.0,1844.541658403196,0,pink
270,7894558.0,14599812096.0,750.0,0.66,0.08,0.08,100.0,0.06,0.58,10.134,0.0,1849.3514261343064,0,pink
271,8149420.0,14703565824.0,700.0,0.7,0.1,0.1,100.0,0.07,0.6,12.271,0.0,1804.2469064056093,0,pink
272,8402635.0,15130030080.0,714.286,0.73,0.14,0.14,100.0,0.1,0.59,16.661,0.0,1800.6292169063634,0,pink
273,8647761.0,15874980864.0,700.0,0.78,0.2,0.2,100.0,0.14,0.58,23.127,0.0,1835.7330717164823,0,pink
274,8906472.0,16519715840.0,714.286,0.87,0.21,0.21,100.0,0.15,0.66,23.578,0.0,1854.7990539913,0,pink
275,9172514.0,16780075008.0,666.667,0.99,0.12,0.12,100.0,0.08,0.87,13.083,0.0,1829.3866880988128,0,pink
276,9445716.0,17023196160.0,727.273,1.12,0.11,0.11,100.0,0.08,1.01,11.645,0.0,1802.213422465804,0,pink
277,9726385.0,17416239104.0,666.667,1.1,0.09,0.09,100.0,0.06,1.01,9.253,0.0,1790.6179021291057,0,pink
278,10014087.0,18305935360.0,800.0,1.15,0.05,0.05,100.0,0.04,1.1,4.993,0.0,1828.0184064708048,0,pink
279,10308730.0,19651418112.0,666.667,1.17,0.09,0.09,100.0,0.06,1.08,8.73,0.0,1906.2889523733768,0,pink
280,10614845.0,21043177472.0,681.818,1.16,0.22,0.22,100.0,0.15,0.94,20.726,0.0,1982.429086058252,0,pink
